,0
Acute Myocardial Infarction,Inferior Wall Myocardial Infarction (MeSH ID:68056989)
Psoriasis,Psoriasis (MeSH ID:68011565)
Maturity-Onset Diabetes of the Young (MODY),NOT DETERMINED
Congestive Heart Failure,Heart Failure (MeSH ID:68006333)
Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Type 1 Diabetes Mellitus,"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Bile Acid Malabsorption,NOT DETERMINED
Diabetic Neuropathic Pain,NOT DETERMINED
Parkinson's Disease,Parkinson Disease (MeSH ID:68010300)
Type 2 Diabetes,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Acquired Hyperinsulinemic Hypoglycemia,NOT DETERMINED
Alzheimer's Disease,Alzheimer Disease (MeSH ID:68000544)
Stress Hyperglycemia,Hyperglycemia (MeSH ID:68006943)
Polycystic Ovary Syndrome,Polycystic Ovary Syndrome (MeSH ID:68011085)
Kidney Transplant Recipients,NOT DETERMINED
Obstructive Sleep Apnea,"Sleep Apnea, Obstructive (MeSH ID:68020181)"
Alcohol-related Liver Disease,NOT DETERMINED
Obesity,Obesity (MeSH ID:68009765)
Alcohol Use Disorder,Alcoholism (MeSH ID:68000437)
Osteoarthritis,Osteoarthritis (MeSH ID:68010003)
Post-Transplant Diabetes Mellitus (PTDM),NOT DETERMINED
Crohn's disease,Crohn Disease (MeSH ID:68003424)
Lipodystrophy,Lipodystrophy (MeSH ID:68008060)
Colorectal Adenoma Prevention,NOT DETERMINED
Obesity-related Male Infertility,NOT DETERMINED
Aging,NOT DETERMINED
